,Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
13844,Kirakira no Hibi,3826,Manga,1,Jul 2010 - Jan 2013,4530,https://myanimelist.net/manga/54337/Kirakira_no_Hibi,https://cdn.myanimelist.net/r/100x140/images/manga/5/94925.jpg?s=a3a7a5d6a93405b5fee7d71439a62ef4,7.38
13845,Unmei no Yoru ni,10394,Manga,1,2009 - 2009,446,https://myanimelist.net/manga/30365/Unmei_no_Yoru_ni,https://cdn.myanimelist.net/r/100x140/images/manga/2/52199.jpg?s=84de722961a5a72a274e3c19a586c9af,6.87
13846,Koi no Surisasu,15466,Manga,1,2001 - 2001,424,https://myanimelist.net/manga/34909/Koi_no_Surisasu,https://cdn.myanimelist.net/r/100x140/images/manga/3/164906.jpg?s=bb2a9250e6cd160d98fad1d24d356f7d,6.44
13847,Locomoco,8988,Manga,2,Dec 2011 - Jul 2012,1799,https://myanimelist.net/manga/33017/Locomoco,https://cdn.myanimelist.net/r/100x140/images/manga/2/98771.jpg?s=479ed36fef34a7e438afbfdc0911a92f,6.97
13848,Life Is Money,7151,Manga,3,Aug 2011 - Oct 2012,11701,https://myanimelist.net/manga/28184/Life_Is_Money,https://cdn.myanimelist.net/r/100x140/images/manga/2/196692.jpg?s=55e3956bf3899d091381e71ad0e885fb,7.09
13849,Negima!? Neo,9603,Manga,7,Sep 2006 - Aug 2009,5388,https://myanimelist.net/manga/597/Negima_Neo,https://cdn.myanimelist.net/r/100x140/images/manga/2/156574.jpg?s=a0a90275276dad45cb64ed5b8d228726,6.92
13850,Genjitsu Shugi Yuusha no Oukoku Saikenki,3195,Manga,?,Jul 2017 -,18744,https://myanimelist.net/manga/107795/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki,https://cdn.myanimelist.net/r/100x140/images/manga/1/207420.jpg?s=004fdaff2a7425cc808cc8f359d93952,7.45
13851,Rengoku no Joou,17352,One-shot,?,2010 -,272,https://myanimelist.net/manga/23340/Rengoku_no_Joou,https://cdn.myanimelist.net/r/100x140/images/manga/4/51937.jpg?s=f7808f0e96a241a7e1e45b26c59a0939,5.98
13852,Gekijouban Pocket Monster AG: Rekkuu no Houmonsha Deoxys,13265,Manga,1,May 2004 - Jul 2004,460,https://myanimelist.net/manga/24225/Gekijouban_Pocket_Monster_AG__Rekkuu_no_Houmonsha_Deoxys,https://cdn.myanimelist.net/r/100x140/images/manga/1/39114.jpg?s=5f834a56f29fbcfa2c75942bd93d28dc,6.65
13853,Jumping,8163,Manga,4,May 2015 - Apr 2017,364,https://myanimelist.net/manga/96749/Jumping,https://cdn.myanimelist.net/r/100x140/images/manga/1/180901.jpg?s=51ff5dd173696c8d7d70152fb1038161,7.02
13854,Girls x Sekuha-Life,16476,Manga,2,Jan 2018 - Jul 2019,1025,https://myanimelist.net/manga/111946/Girls_x_Sekuha-Life,https://cdn.myanimelist.net/r/100x140/images/manga/3/210030.jpg?s=ca2f4ab68f0ed9c9037f5eeae35701ab,6.28
13855,Unholy Blood,899,Manhwa,8,Jan 2020 - Sep 2021,17179,https://myanimelist.net/manga/131843/Unholy_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/2/238421.jpg?s=bbab4da39f69bd6b9c00b98ba8501f11,7.92
13856,God of Bath,3993,Manhwa,3,Jul 2011 - Feb 2012,3156,https://myanimelist.net/manga/41961/God_of_Bath,https://cdn.myanimelist.net/r/100x140/images/manga/5/106187.jpg?s=9f8436c3b29d224c65df4014468d960d,7.36
13857,Neko to Kiss,2400,Manga,6,Aug 2020 - Dec 2022,5610,https://myanimelist.net/manga/129280/Neko_to_Kiss,https://cdn.myanimelist.net/r/100x140/images/manga/1/249828.jpg?s=29be84f649edc0bf556d6ddee5c61e56,7.56
13858,Ruri Dragon,1989,Manga,1,Jun 2022 - Jul 2022,20671,https://myanimelist.net/manga/148054/Ruri_Dragon,https://cdn.myanimelist.net/r/100x140/images/manga/2/269401.jpg?s=fe0321eaccab0c944c753d0f7eddfb77,7.63
